Year,Blockchain Size,Electricity,Antivirus,Gb Cost,Firewall Price,Internet Price
2009,0.0,0.0,0.0,1.0,0.0,1.0
2010,3.014069896605552e-05,0.06359341080321802,0.0,0.7117117117117117,0.09837678307919331,0.9256052016842983
2011,0.0007221746910375445,0.1303792619078024,0.0,0.49549549549549554,0.09837678307919331,0.7768156050528947
2012,0.004341826976405811,0.13421019026944203,0.0,0.4054054054054054,0.09837678307919331,0.7768156050528947
2013,0.020155702589023036,0.22615247094879334,0.0911074740861976,0.34234234234234234,0.18052139695031982,0.6280260084214911
2014,0.04493764419316031,0.30021708594049296,0.1816693944353518,0.27027027027027023,0.26217412690605013,0.5536312101057893
2015,0.08526008302149544,0.3653428680883669,0.2727768685215494,0.19819819819819817,0.3443187407771766,0.4420390126322367
2016,0.16388974398080705,0.4534542204060783,0.31805782869612653,0.1801801801801802,0.4264633546483031,0.33044681515868407
2017,0.2696395241314855,0.5313497637594179,0.4544462629569012,0.15315315315315317,0.5081160846040335,0.21885461768513143
2018,0.38069668052427097,0.6028604265100244,0.5455537370430988,0.08108108108108109,0.5902606984751599,0.12958085970628933
2019,0.49783078470925723,0.7364321287191932,0.6366612111292964,0.04504504504504505,0.6724053123462864,0.08494398071686826
2020,0.6237469493888002,0.7847018260758523,0.7272231314784506,0.018018018018018035,0.7540580423020167,0.05518606139058757
2021,0.7707682037414512,1.0,0.8183306055646482,0.0,0.8362026561731432,0.036587361811662125
2022,0.9054598019761458,0.6673477205976247,0.9094380796508458,0.018018018018018035,0.9183472700442697,0.018360636224315198
2023,1.0,0.7388583833482315,1.0,0.0,1.0,0.0
